Id;Designator;Footprint;Quantity;Designation;Supplier and ref
1;IC1;SOIC127P600X170-8N;1;AP2112M-3.3TRG1;
2;D1,D3,D2;LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;3;LED;
3;R5,R4,R3;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;3;470;
4;C2,C5;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;2;0.1u;
5;C1;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;1;10u;
6;R2,R1;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;2;5.1k;
7;C3,C4;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;2;1u;
8;U1;SOIC-16_3.9x9.9mm_P1.27mm;1;CH340C;
9;J1;PinHeader_1x04_P2.54mm_Vertical;1;Conn_01x04_Pin;
10;J2;PinHeader_1x03_P2.54mm_Vertical;1;Conn_01x03_Pin;
11;J3;USB_C_Receptacle_HRO_TYPE-C-31-M-12;1;USB_C_Receptacle_USB2.0_16P;
